Date(UTC),UnixTimeStamp,Value
8/24/17,1503532800,352465
8/25/17,1503619200,352621
8/26/17,1503705600,306268
8/27/17,1503792000,324173
8/28/17,1503878400,363799
8/29/17,1503964800,394649
8/30/17,1504051200,400220
8/31/17,1504137600,384421
9/1/17,1504224000,390997
9/2/17,1504310400,331797
9/3/17,1504396800,302525
9/4/17,1504483200,442592
9/5/17,1504569600,444572
9/6/17,1504656000,496376
9/7/17,1504742400,448347
9/8/17,1504828800,463670
9/9/17,1504915200,383654
9/10/17,1505001600,325128
9/11/17,1505088000,365384
9/12/17,1505174400,404898
9/13/17,1505260800,365679
9/14/17,1505347200,380251
9/15/17,1505433600,441767
9/16/17,1505520000,373764
9/17/17,1505606400,289517
9/18/17,1505692800,362764
9/19/17,1505779200,337752
9/20/17,1505865600,324984
9/21/17,1505952000,317074
9/22/17,1506038400,271470
9/23/17,1506124800,260107
9/24/17,1506211200,280929
9/25/17,1506297600,306614
9/26/17,1506384000,306075
9/27/17,1506470400,309047
9/28/17,1506556800,329208
9/29/17,1506643200,326502
9/30/17,1506729600,295798
10/1/17,1506816000,283871
10/2/17,1506902400,306095
10/3/17,1506988800,327906
10/4/17,1507075200,307399
10/5/17,1507161600,314808
10/6/17,1507248000,319882
10/7/17,1507334400,291091
10/8/17,1507420800,296829
10/9/17,1507507200,328172
10/10/17,1507593600,349605
10/11/17,1507680000,344305
10/12/17,1507766400,363411
10/13/17,1507852800,379136
10/14/17,1507939200,332169
10/15/17,1508025600,328921
10/16/17,1508112000,408297
10/17/17,1508198400,505611
10/18/17,1508284800,470449
10/19/17,1508371200,494184
10/20/17,1508457600,546837
10/21/17,1508544000,462902
10/22/17,1508630400,435493
10/23/17,1508716800,468168
10/24/17,1508803200,492288
10/25/17,1508889600,460419
10/26/17,1508976000,466406
10/27/17,1509062400,486147
10/28/17,1509148800,484554
10/29/17,1509235200,494176
10/30/17,1509321600,532626
10/31/17,1509408000,519906
11/1/17,1509494400,527783
11/2/17,1509580800,529277
11/3/17,1509667200,485790
11/4/17,1509753600,398758
11/5/17,1509840000,417102
11/6/17,1509926400,511663
11/7/17,1510012800,470418
11/8/17,1510099200,480413
11/9/17,1510185600,467172
11/10/17,1510272000,457427
11/11/17,1510358400,394378
11/12/17,1510444800,434380
11/13/17,1510531200,443176
11/14/17,1510617600,475984
11/15/17,1510704000,540593
11/16/17,1510790400,491482
11/17/17,1510876800,508590
11/18/17,1510963200,459679
11/19/17,1511049600,464563
11/20/17,1511136000,530141
11/21/17,1511222400,524044
11/22/17,1511308800,546489
11/23/17,1511395200,537068
11/24/17,1511481600,525529
11/25/17,1511568000,561166
11/26/17,1511654400,542484
11/27/17,1511740800,608695
11/28/17,1511827200,638989
11/29/17,1511913600,663579
11/30/17,1512000000,655457
12/1/17,1512086400,622720
12/2/17,1512172800,627785
12/3/17,1512259200,693808
12/4/17,1512345600,701834
12/5/17,1512432000,693090
12/6/17,1512518400,791746
12/7/17,1512604800,659068
12/8/17,1512691200,766411
12/9/17,1512777600,707223
12/10/17,1512864000,716575
12/11/17,1512950400,828899
12/12/17,1513036800,872340
12/13/17,1513123200,909631
12/14/17,1513209600,942559
12/15/17,1513296000,904346
12/16/17,1513382400,899857
12/17/17,1513468800,876574
12/18/17,1513555200,984021
12/19/17,1513641600,1092234
12/20/17,1513728000,986104
12/21/17,1513814400,1072665
12/22/17,1513900800,1103523
12/23/17,1513987200,918881
12/24/17,1514073600,758234
12/25/17,1514160000,752361
12/26/17,1514246400,813510
12/27/17,1514332800,912752
12/28/17,1514419200,949503
12/29/17,1514505600,1090191
12/30/17,1514592000,1136659
12/31/17,1514678400,946981
1/1/18,1514764800,908945
1/2/18,1514851200,1153936
1/3/18,1514937600,1238030
1/4/18,1515024000,1349890
1/5/18,1515110400,1271577
1/6/18,1515196800,1226417
1/7/18,1515283200,1152722
1/8/18,1515369600,1215473
1/9/18,1515456000,1256240
1/10/18,1515542400,1177685
1/11/18,1515628800,1173965
1/12/18,1515715200,1118757
1/13/18,1515801600,1179321
1/14/18,1515888000,1081593
1/15/18,1515974400,1206420
1/16/18,1516060800,1277936
1/17/18,1516147200,1277083
1/18/18,1516233600,1205184
1/19/18,1516320000,1043257
1/20/18,1516406400,984489
1/21/18,1516492800,1006530
1/22/18,1516579200,972911
1/23/18,1516665600,928494
1/24/18,1516752000,913668
1/25/18,1516838400,788515
1/26/18,1516924800,953429
1/27/18,1517011200,831992
1/28/18,1517097600,889104
1/29/18,1517184000,936845
1/30/18,1517270400,906578
1/31/18,1517356800,877284
2/1/18,1517443200,1008759
2/2/18,1517529600,981133
2/3/18,1517616000,814486
2/4/18,1517702400,800876
2/5/18,1517788800,875761
2/6/18,1517875200,888219
2/7/18,1517961600,818625
2/8/18,1518048000,681344
2/9/18,1518134400,789807
2/10/18,1518220800,848390
2/11/18,1518307200,773496
2/12/18,1518393600,829020
2/13/18,1518480000,745822
2/14/18,1518566400,746384
2/15/18,1518652800,777318
2/16/18,1518739200,704758
2/17/18,1518825600,772079
2/18/18,1518912000,756092
2/19/18,1518998400,811384
2/20/18,1519084800,886897
2/21/18,1519171200,850504
2/22/18,1519257600,761893
2/23/18,1519344000,733084
2/24/18,1519430400,732861
2/25/18,1519516800,690582
2/26/18,1519603200,737453
2/27/18,1519689600,694583
2/28/18,1519776000,720368
3/1/18,1519862400,684404
3/2/18,1519948800,744666
3/3/18,1520035200,673465
3/4/18,1520121600,643241
3/5/18,1520208000,752756
3/6/18,1520294400,712591
3/7/18,1520380800,783757
3/8/18,1520467200,690139
3/9/18,1520553600,650058
3/10/18,1520640000,591377
3/11/18,1520726400,608899
3/12/18,1520812800,677908
3/13/18,1520899200,699093
3/14/18,1520985600,671198
3/15/18,1521072000,654531
3/16/18,1521158400,654584
3/17/18,1521244800,593203
3/18/18,1521331200,684094
3/19/18,1521417600,703891
3/20/18,1521504000,661791
3/21/18,1521590400,697872
3/22/18,1521676800,619453
3/23/18,1521763200,677103
3/24/18,1521849600,613203
3/25/18,1521936000,526372
3/26/18,1522022400,626615
3/27/18,1522108800,584055
3/28/18,1522195200,579858
3/29/18,1522281600,583673
3/30/18,1522368000,633616
3/31/18,1522454400,584396
4/1/18,1522540800,545141
4/2/18,1522627200,598505
4/3/18,1522713600,645977
4/4/18,1522800000,628441
4/5/18,1522886400,695871
4/6/18,1522972800,647981
4/7/18,1523059200,535865
4/8/18,1523145600,595733
4/9/18,1523232000,609799
4/10/18,1523318400,571388
4/11/18,1523404800,609102
4/12/18,1523491200,692606
4/13/18,1523577600,730344
4/14/18,1523664000,611188
4/15/18,1523750400,619985
4/16/18,1523836800,664402
